date,temperature,precipitation,humidity,solar_radiation
2024-12-04,24.41,0.02,84.75,10.95
2024-12-05,24.65,0.0,84.23,12.38
2024-12-06,23.79,0.07,86.59,12.08
2024-12-07,24.29,0.94,81.07,10.09
2024-12-08,23.74,1.11,84.62,10.19
2024-12-09,23.57,0.4,85.48,9.91
2024-12-10,21.51,0.0,64.62,14.99
2024-12-11,19.47,0.0,65.57,17.01
2024-12-12,20.27,0.0,63.29,17.06
2024-12-13,19.98,0.0,60.99,15.0
2024-12-14,18.97,0.0,64.73,16.0
2024-12-15,17.37,0.0,59.46,17.26
2024-12-16,17.31,0.0,54.74,18.02
2024-12-17,19.35,0.0,51.2,17.74
2024-12-18,20.29,0.01,55.86,17.39
2024-12-19,20.84,2.33,75.36,15.01
2024-12-20,23.37,1.04,81.62,10.97
2024-12-21,23.03,0.05,70.89,12.77
2024-12-22,21.29,0.04,69.21,14.9
2024-12-23,20.78,0.0,63.29,16.21
2024-12-24,20.94,0.6,74.17,11.75
2024-12-25,20.93,0.72,84.16,8.13
2024-12-26,22.18,1.14,81.72,6.99
2024-12-27,22.69,0.08,75.91,11.16
2024-12-28,22.19,0.0,75.97,16.74
2024-12-29,22.42,0.0,71.01,18.05
2024-12-30,22.04,0.0,62.7,17.03
2024-12-31,21.66,0.0,68.1,15.16
